38506-0001-Data
FIPS,YEAR,REG_VOTERS (use 2020 ONLY),"REG_VOTER_TURNOUT_PCT (Average 12, 16, 20 result for EACH county)",,,,,,,,,,,,,,
5039,2020,4541,0.587095379829,,,,,,,,,,,,,,
5041,2012,7240,0.622513830662,,,,,,,,,,,,,,
5041,2016,7831,0.546034991741,,,,,,,,,,,,,,
5041,2020,7143,0.581828355789,,,,,,,,,,,,,,
5043,2012,9121,0.734897494316,,,,,,,,,,,,,,
5043,2016,10597,0,,,,,,,,,,,,,,
5043,2020,11608,0.603032410145,,,,,,,,,,,,,,
5045,2012,66337,0.630583226681,,,,,,,,,,,,,,
5045,2016,75257,0.64429885149,,,,,,,,,,,,,,
5045,2020,77681,0.702024936676,,,,,,,,,,,,,,
5047,2012,9191,0.715482532978,,,,,,,,,,,,,,
5047,2016,9896,0.687348425388,,,,,,,,,,,,,,
5047,2020,9749,0.725612878799,,,,,,,,,,,,,,
5049,2012,6954,0.663359224796,,,,,,,,,,,,,,
5049,2016,6787,0.712391316891,,,,,,,,,,,,,,
5049,2020,7595,0.678209364414,,,,,,,,,,,,,,
5051,2012,61803,0.666181266308,,,,,,,,,,,,,,
5051,2016,65604,0.627598941326,,,,,,,,,,,,,,
5051,2020,66198,0.670820891857,,,,,,,,,,,,,,
5053,2012,9161,0.714332520962,,,,,,,,,,,,,,
5053,2016,11030,0.670444250107,,,,,,,,,,,,,,
5053,2020,12095,0.678792893887,,,,,,,,,,,,,,
5055,2012,19410,0.719835162163,,,,,,,,,,,,,,
5055,2016,20878,0.698103249073,,,,,,,,,,,,,,
5055,2020,22061,0.73369294405,,,,,,,,,,,,,,
5057,2012,10066,0.694416821003,,,,,,,,,,,,,,
5057,2016,11860,0.600000023842,,,,,,,,,,,,,,
5057,2020,10291,0.667476415634,,,,,,,,,,,,,,
5059,2012,17708,0.644341528416,,,,,,,,,,,,,,
5059,2016,19409,0.367509931326,,,,,,,,,,,,,,
5059,2020,18209,0.691306471825,,,,,,,,,,,,,,
5061,2012,6479,0.695632040501,,,,,,,,,,,,,,
5061,2016,7148,0.660604357719,,,,,,,,,,,,,,
5061,2020,7359,0.658513367176,,,,,,,,,,,,,,
5063,2012,19345,0.648229539394,,,,,,,,,,,,,,
5063,2016,21825,0.629049241543,,,,,,,,,,,,,,
5063,2020,22010,0.65724670887,,,,,,,,,,,,,,
5065,2012,8150,0.660736203194,,,,,,,,,,,,,,
5065,2016,8061,0.685522913933,,,,,,,,,,,,,,
5065,2020,9008,0.572713136673,,,,,,,,,,,,,,
5067,2012,9646,0.642235100269,,,,,,,,,,,,,,
5067,2016,8505,0.609994113445,,,,,,,,,,,,,,
5067,2020,7908,0.651871502399,,,,,,,,,,,,,,
5069,2012,39530,0.700607120991,,,,,,,,,,,,,,
5069,2016,42463,0.612509727478,,,,,,,,,,,,,,
5069,2020,44193,0.571425318718,,,,,,,,,,,,,,
5071,2012,11589,0.709034442902,,,,,,,,,,,,,,
5071,2016,14806,0.599756836891,,,,,,,,,,,,,,
5071,2020,16806,0.558788537979,,,,,,,,,,,,,,
5073,2012,4247,0.684012234211,,,,,,,,,,,,,,
5073,2016,4281,0.673207223415,,,,,,,,,,,,,,
5073,2020,4402,0,,,,,,,,,,,,,,
5075,2012,8546,0.659489810467,,,,,,,,,,,,,,
5075,2016,8983,0.640654563904,,,,,,,,,,,,,,
5075,2020,8502,0.612561762333,,,,,,,,,,,,,,
5077,2012,5313,0.644456982613,,,,,,,,,,,,,,
5077,2016,4948,0.631972491741,,,,,,,,,,,,,,
5077,2020,5035,0.571002960205,,,,,,,,,,,,,,
5079,2012,5686,0.666197657585,,,,,,,,,,,,,,
5079,2016,6037,0.641875088215,,,,,,,,,,,,,,
5079,2020,6422,0.606197416782,,,,,,,,,,,,,,
5081,2012,6888,0.743902444839,,,,,,,,,,,,,,
5081,2016,7232,0.729673683643,,,,,,,,,,,,,,
5081,2020,7201,0.722121953964,,,,,,,,,,,,,,
5083,2012,10700,0.694672882557,,,,,,,,,,,,,,
5083,2016,12718,0.628715217113,,,,,,,,,,,,,,
5083,2020,12214,0.673407554626,,,,,,,,,,,,,,
5085,2012,34822,0.704209983349,,,,,,,,,,,,,,
5085,2016,43330,0,,,,,,,,,,,,,,
5085,2020,49741,0.611145734787,,,,,,,,,,,,,,
5087,2012,8745,0.770040035248,,,,,,,,,,,,,,
5087,2016,9769,0.71204829216,,,,,,,,,,,,,,
5087,2020,10274,0.718220770359,,,,,,,,,,,,,,
5089,2012,9837,0.722171366215,,,,,,,,,,,,,,
5089,2016,10076,0.713179826736,,,,,,,,,,,,,,
5089,2020,10723,0.702322125435,,,,,,,,,,,,,,
5091,2012,20950,0.736801922321,,,,,,,,,,,,,,
5091,2016,25840,0.626509308815,,,,,,,,,,,,,,
5091,2020,24640,0.667329549789,,,,,,,,,,,,,,
5093,2012,20763,0.648990988731,,,,,,,,,,,,,,
5093,2016,21542,0.618373394012,,,,,,,,,,,,,,
5093,2020,20601,0.551186859608,,,,,,,,,,,,,,
5095,2012,4577,0.714223265648,,,,,,,,,,,,,,
5095,2016,4483,0.650234222412,,,,,,,,,,,,,,
5095,2020,4297,0.655573666096,,,,,,,,,,,,,,
5097,2012,5414,0.639268577099,,,,,,,,,,,,,,
5097,2016,4945,0.729828119278,,,,,,,,,,,,,,
5097,2020,5074,0.76448559761,,,,,,,,,,,,,,
5099,2012,14926,0.229599356651,,,,,,,,,,,,,,
5099,2016,5720,0.570454537868,,,,,,,,,,,,,,
5099,2020,5834,0,,,,,,,,,,,,,,
5101,2012,5737,0.660624027252,,,,,,,,,,,,,,
5101,2016,6283,0,,,,,,,,,,,,,,
5101,2020,6628,0.605461657047,,,,,,,,,,,,,,
5103,2012,16054,0.649682343006,,,,,,,,,,,,,,
5103,2016,16726,0.597991168499,,,,,,,,,,,,,,
5103,2020,15973,0.585801064968,,,,,,,,,,,,,,
5105,2012,5785,0.687813282013,,,,,,,,,,,,,,
5105,2016,6235,0.692862868309,,,,,,,,,,,,,,
5105,2020,6406,0.728691875935,,,,,,,,,,,,,,
5107,2012,13639,0.594838321209,,,,,,,,,,,,,,
5107,2016,13044,0.542011678219,,,,,,,,,,,,,,
5107,2020,10673,0.558043658733,,,,,,,,,,,,,,
5109,2012,5581,0.689840555191,,,,,,,,,,,,,,
5109,2016,5560,0.723920881748,,,,,,,,,,,,,,
5109,2020,5662,0.749558448792,,,,,,,,,,,,,,
5111,2012,11890,0.643650114536,,,,,,,,,,,,,,
5111,2016,12550,0.618964135647,,,,,,,,,,,,,,
5111,2020,12357,0.610827863216,,,,,,,,,,,,,,
5113,2012,10900,0.717706441879,,,,,,,,,,,,,,
